social,likes,createdDate
"instagram",789,2014-12-21T17:44:02Z
"facebook",165,2014-12-21T18:44:35Z
"instagram",793,2014-12-21T18:44:38Z
"facebook",165,2014-12-21T19:45:11Z
"instagram",793,2014-12-21T19:45:14Z
"facebook",165,2014-12-21T20:45:46Z
"instagram",795,2014-12-21T20:45:48Z
"facebook",167,2014-12-21T21:46:20Z
"instagram",796,2014-12-21T21:46:23Z
"facebook",167,2014-12-21T22:46:55Z
"instagram",796,2014-12-21T22:46:57Z
"facebook",167,2014-12-21T23:47:30Z
"instagram",796,2014-12-21T23:47:33Z
"facebook",167,2014-12-22T00:48:04Z
"instagram",796,2014-12-22T00:48:07Z
"facebook",167,2014-12-22T01:48:39Z
"instagram",796,2014-12-22T01:48:42Z
"facebook",167,2014-12-22T02:49:13Z
"instagram",797,2014-12-22T02:49:16Z
"facebook",167,2014-12-22T03:49:47Z
"instagram",797,2014-12-22T03:49:50Z
"facebook",167,2014-12-22T04:50:21Z
"instagram",797,2014-12-22T04:50:24Z
"facebook",167,2014-12-22T05:50:55Z
"instagram",797,2014-12-22T05:50:58Z
"facebook",167,2014-12-22T06:51:30Z
"instagram",798,2014-12-22T06:51:33Z
"facebook",167,2014-12-22T07:52:04Z
"instagram",797,2014-12-22T07:52:07Z
"facebook",168,2014-12-22T08:52:38Z
"instagram",797,2014-12-22T08:52:41Z
"facebook",168,2014-12-22T09:53:12Z
"instagram",797,2014-12-22T09:53:14Z
"facebook",170,2014-12-22T10:53:45Z
"instagram",797,2014-12-22T10:53:48Z
"facebook",171,2014-12-22T11:54:18Z
"instagram",798,2014-12-22T11:54:21Z
"facebook",173,2014-12-22T12:54:52Z
"instagram",800,2014-12-22T12:54:55Z
"facebook",174,2014-12-22T13:55:27Z
"instagram",800,2014-12-22T13:55:30Z
"facebook",175,2014-12-22T14:56:02Z
"instagram",802,2014-12-22T14:56:05Z
"facebook",175,2014-12-22T15:56:37Z
"instagram",802,2014-12-22T15:56:40Z
"facebook",176,2014-12-22T16:57:11Z
"instagram",802,2014-12-22T16:57:14Z
"facebook",176,2014-12-22T17:57:45Z
"instagram",802,2014-12-22T17:57:48Z
"facebook",176,2014-12-22T18:58:19Z
"instagram",802,2014-12-22T18:58:22Z
"facebook",177,2014-12-22T19:58:54Z
"instagram",802,2014-12-22T19:58:57Z
"facebook",178,2014-12-22T20:59:29Z
"facebook",179,2014-12-22T22:00:04Z
"facebook",179,2014-12-22T23:00:39Z
"facebook",179,2014-12-23T00:01:13Z
"facebook",179,2014-12-23T01:01:47Z
"facebook",179,2014-12-23T02:02:21Z
"facebook",179,2014-12-23T03:02:55Z
"facebook",179,2014-12-23T04:03:28Z
"facebook",180,2014-12-23T05:04:03Z
"facebook",180,2014-12-23T06:04:36Z
"facebook",180,2014-12-23T07:05:11Z
"facebook",180,2014-12-23T08:05:44Z
"facebook",180,2014-12-23T09:06:18Z
"facebook",180,2014-12-23T10:06:50Z
"facebook",180,2014-12-23T10:09:36Z
"facebook",181,2014-12-23T11:10:09Z
"facebook",183,2014-12-23T12:10:43Z
"facebook",183,2014-12-23T13:11:17Z
"instagram",802,2014-12-22T20:59:31Z
"instagram",802,2014-12-22T22:00:07Z
"instagram",803,2014-12-22T23:00:42Z
"instagram",803,2014-12-23T00:01:16Z
"instagram",803,2014-12-23T01:01:50Z
