"","username","photosCount","commentsCount","likesCount","fit.cluster"
"638","my_jewellery_shop_online_",0,1,2,5
"639","maxbondino",0,1,1,5
"640","loveisan",0,2,51,4
"641","atelierdoucebelle",0,1,2,5
"642","andreacarlolonati",1,1,77,4
"643","gr_photo",7,6,2,2
"644","y_7hya",0,2,2,5
"645","cucinaearmonia",43,12,206,6
"646","isaevane",0,2,53,4
"647","belzebuuuu",0,2,0,5
"648","irem2nstunner",0,3,0,5
"649","alanpasotti",0,3,1,5
"650","kiiiingofhearts_420",0,1,0,5
"651","profcri",3,1,4,5
"652","delmiocuortuseilaregina",0,1,4,5
"653","sandras_little_world",0,1,3,5
"654","sevgierkan44",0,1,7,5
"655","fatavinnie",36,1,372,1
"656","valy22",0,1,34,5
"657","eliseteaf",0,1,4,5
"658","littlepamy81",0,1,7,5
"659","bryan_divohairconnection",0,1,1,5
"660","train_with_t",0,1,0,5
"661","silvia_snowdrop",0,1,2,5
"662","in_cucina_con_amore",0,2,23,5
"663","dianeolanteigne",0,1,20,5
"664","marybonarosy",0,1,2,5
"665","turner_9999",0,1,30,5
"666","hayley_pollock99",0,1,20,5
"667","mydesenzano",0,1,11,5
"668","1popi2",20,14,78,3
"669","mbottura67",0,1,35,5
"670","altro_bologna",21,11,15,3
"671","beppe_foto",0,1,1,5
"672","mercedesgazzano",0,1,7,5
"673","benegigi",6,2,82,4
"674","vatoreid",0,1,35,5
"675","raffycarty",0,3,17,5
"676","dof2211",0,1,11,5
"677","sabrinamellace",0,1,25,5
"678","mayazetaci",34,62,514,1
"679","laura.frescura",0,1,41,4
"680","ladyshantiii",0,1,9,5
"681","mammarum",0,1,1,5
"682","lasilviala",0,1,6,5
"683","u31sd",0,1,0,5
"684","edersergioerrico",0,2,2,5
"685","richar66",0,1,49,4
"686","rossana_world",0,1,6,5
"687","giada975",0,2,4,5
"688","su__gar2107",0,2,0,5
"689","anderstrust",0,1,0,5
"690","lalessiuccia",6,1,255,1
"691","antomartino85",0,1,11,5
"692","aricciolina",15,10,16,2
"693","filippomundula",0,1,34,5
"694","jlenia_semplicementevegan",20,2,26,3
"695","dicioteceneuno",0,1,26,5
"696","mariacosbel",0,2,378,1
"697","mauriziobogazzi",0,1,1,5
"698","sweatdailytv",0,1,4,5
"699","stailuan",0,2,1,5
"700","mammeallestero",0,1,2,5
"701","mireia_tarres",0,1,3,5
"702","fededexter",0,1,1,5
"703","igersfvg",0,1,0,5
"704","sweetiechiara",0,1,0,5
"705","cinetario",0,1,1,5
"706","giuliaukah",0,1,1,5
"707","paola_cucina_per_passione",0,2,519,1
"708","gianluca_dfg",0,1,15,5
"709","lorylory69",0,1,29,5
"710","iboomuniversity",0,1,1,5
"711","donatellacelot",0,2,25,5
"712","mariannafossati",0,1,1,5
"713","canesbocciatore",0,1,3,5
"714","mi_aax",0,2,0,5
"715","eli_dada",0,2,0,5
"716","doral_travel",0,1,0,5
"717","davigold",22,4,8,3
"718","enricopara28",2,4,35,5
"719","mariroseph",144,1,20,7
"720","timoebasilico",127,84,307,7
"721","lucia_basile_jr",9,1,138,4
"722","tv_living",0,1,18,5
"723","alexiapaolini",0,1,105,4
"724","flaca_sassu",0,5,18,5
"725","piemontgourmet",0,2,1,5
"726","martastreet",43,4,55,3
"727","showretour",0,1,20,5
"728","enricalazzarini",0,1,4,5
"729","nude_nutritionist",0,1,10,5
"730","tuttiigiornijoe",0,2,157,4
"731","expo2015milano",21,3,264,1
"732","helen_ire",0,1,0,5
"733","sunumdunyasi",0,2,3,5
"734","xalox90",0,1,18,5
"735","safy63",0,1,3,5
"736","chicchi23",0,1,7,5
"737","kimmytapiablog",0,1,14,5
"738","bokcaruthers",0,1,0,5
"739","handy_luo",0,1,0,5
"740","reginadotulong",0,1,58,4
"741","petit_patisserie_",24,32,512,1
"742","sundaymorninglight",56,2,49,6
"743","dina_in_love",0,2,5,5
"744","ammonpearce",0,1,0,5
"745","chiarachrizzo",0,2,0,5
"746","regnargc",0,1,50,4
"747","chiara_mente92",69,27,164,6
"748","thatjustaintright",0,1,0,5
"749","dell.de",0,1,25,5
"750","lacasadellebriciole",41,24,376,1
"751","silcre",7,13,22,2
"752","regoo_official",0,1,2,5
"753","curvybust2",0,1,0,5
"754","novella__m",0,1,4,5
"755","faroos112",0,1,0,5
"756","paolomantovan",0,1,15,5
"757","biancolavanda",14,34,28,2
"758","darwicca",0,1,1,5
"759","lolomazen",0,1,2,5
"760","modelcard",0,1,0,5
"761","mettepbo",0,1,5,5
"762","camaleonicos",0,1,2,5
"763","mirktonno86",0,1,5,5
