timestamp,count,tag
2015-01-2,45780,EXPO2015cibovita
2015-01-20,5036,EXPO2015cibovita
2015-01-21,7358,EXPO2015cibovita
2015-01-22,8900,EXPO2015cibovita
2015-01-23,53356,EXPO2015cibovita
2015-01-24,53579,EXPO2015cibovita
2015-01-25,51652,EXPO2015cibovita
2015-01-26,2073,EXPO2015cibovita
2015-01-28,6938,EXPO2015cibovita
2015-01-3,45838,EXPO2015cibovita
2015-01-30,8364,EXPO2015cibovita
2015-01-4,46232,EXPO2015cibovita
2015-01-5,46754,EXPO2015cibovita
2015-01-6,47090,EXPO2015cibovita
2015-01-7,47100,EXPO2015cibovita
2015-01-8,47351,EXPO2015cibovita
2015-01-9,47547,EXPO2015cibovita
2015-02-12,55112,EXPO2015cibovita
2015-02-13,55284,EXPO2015cibovita
2015-02-14,55327,EXPO2015cibovita
2015-02-16,55647,EXPO2015cibovita
2015-02-17,56139,EXPO2015cibovita
2015-02-18,56045,EXPO2015cibovita
2015-02-19,55629,EXPO2015cibovita
2015-02-2,1766,EXPO2015cibovita
2015-02-3,324,EXPO2015cibovita
2015-02-9,1121,EXPO2015cibovita
2015-01-10,66366,EXPO2015stuporesapore
2015-01-11,66939,EXPO2015stuporesapore
2015-01-12,69967,EXPO2015stuporesapore
2015-01-13,72467,EXPO2015stuporesapore
2015-01-14,77484,EXPO2015stuporesapore
2015-01-15,80058,EXPO2015stuporesapore
2015-01-16,82369,EXPO2015stuporesapore
2015-01-17,84785,EXPO2015stuporesapore
2015-01-18,87470,EXPO2015stuporesapore
2015-01-19,86431,EXPO2015stuporesapore
2015-01-20,15929,EXPO2015stuporesapore
2015-01-21,19140,EXPO2015stuporesapore
2015-01-22,10516,EXPO2015stuporesapore
2015-01-23,93378,EXPO2015stuporesapore
2015-01-24,95258,EXPO2015stuporesapore
2015-01-25,95628,EXPO2015stuporesapore
2015-01-26,96205,EXPO2015stuporesapore
2015-01-28,98691,EXPO2015stuporesapore
2015-01-3,9894,EXPO2015stuporesapore
2015-01-30,101468,EXPO2015stuporesapore
2015-01-31,101451,EXPO2015stuporesapore
2015-01-4,17934,EXPO2015stuporesapore
2015-01-5,26649,EXPO2015stuporesapore
2015-01-6,33864,EXPO2015stuporesapore
2015-01-7,35364,EXPO2015stuporesapore
2015-01-8,40227,EXPO2015stuporesapore
2015-01-9,63278,EXPO2015stuporesapore
2015-02-12,112372,EXPO2015stuporesapore
2015-02-13,112378,EXPO2015stuporesapore
2015-02-14,54558,EXPO2015stuporesapore
2015-02-16,108537,EXPO2015stuporesapore
2015-02-17,103841,EXPO2015stuporesapore
2015-02-2,102781,EXPO2015stuporesapore
2015-02-3,104542,EXPO2015stuporesapore
2015-02-4,103841,EXPO2015stuporesapore
2015-02-9,108665,EXPO2015stuporesapore
2014-12-20,2572,EXPO2015showcooking
2014-12-21,6495,EXPO2015showcooking
2014-12-22,7349,EXPO2015showcooking
2014-12-23,11562,EXPO2015showcooking
2014-12-24,12271,EXPO2015showcooking
2014-12-25,12834,EXPO2015showcooking
2014-12-26,13970,EXPO2015showcooking
2014-12-27,15094,EXPO2015showcooking
2014-12-28,16655,EXPO2015showcooking
2014-12-29,16841,EXPO2015showcooking
2014-12-30,16680,EXPO2015showcooking
2014-12-31,15572,EXPO2015showcooking
2015-01-1,15652,EXPO2015showcooking
2015-01-10,17797,EXPO2015showcooking
2015-01-11,18260,EXPO2015showcooking
2015-01-12,17813,EXPO2015showcooking
2015-01-14,3437,EXPO2015showcooking
2015-01-15,17842,EXPO2015showcooking
2015-01-19,17714,EXPO2015showcooking
2015-01-2,15742,EXPO2015showcooking
2015-01-20,2539,EXPO2015showcooking
2015-01-21,5199,EXPO2015showcooking
2015-01-22,5794,EXPO2015showcooking
2015-01-23,18044,EXPO2015showcooking
2015-01-24,18170,EXPO2015showcooking
2015-01-25,18026,EXPO2015showcooking
2015-01-26,3849,EXPO2015showcooking
2015-01-28,5779,EXPO2015showcooking
2015-01-3,15566,EXPO2015showcooking
2015-01-30,5370,EXPO2015showcooking
2015-01-4,15706,EXPO2015showcooking
2015-01-5,15807,EXPO2015showcooking
2015-01-6,15918,EXPO2015showcooking
2015-01-7,16029,EXPO2015showcooking
2015-01-8,16197,EXPO2015showcooking
2015-01-9,16787,EXPO2015showcooking
2015-02-12,17721,EXPO2015showcooking
2015-02-17,17770,EXPO2015showcooking
2015-02-2,9991,EXPO2015showcooking
2015-02-3,7381,EXPO2015showcooking
2015-02-9,5036,EXPO2015showcooking
2015-02-14,4309,EXPO2015oggidomani
2015-02-16,21594,EXPO2015oggidomani
2015-02-17,30570,EXPO2015oggidomani
2015-02-18,40802,EXPO2015oggidomani
2015-02-19,51117,EXPO2015oggidomani
2015-02-20,59925,EXPO2015oggidomani
2015-02-21,63631,EXPO2015oggidomani
2015-02-22,63392,EXPO2015oggidomani
2015-02-23,64516,EXPO2015oggidomani
2015-01-31,6355,EXPO2015nightday
2015-02-1,21435,EXPO2015nightday
2015-02-12,63781,EXPO2015nightday
2015-02-13,65426,EXPO2015nightday
2015-02-14,65763,EXPO2015nightday
