username,photosCount,commentsCount,likesCount
"ferracutisilvia",2,0,2
"francidemarzo",12,0,4
"danielac1980",3,0,158
"dulcispasticceria",5,0,16
"davidefranci",1,0,22
"ilvale79",1,0,41
"chiara.basile",10,0,49
"chiaracakes",9,0,3
"run4food.italia",1,0,26
"guardatrice",11,0,8
"giluis74",2,0,69
"dolcemiagioia",1,0,2
"mr.gusto",1,0,131
"lalentina",6,0,18
"latte_sole",1,0,12
"il_giardino_di_rebecca",1,0,4
"ariassi",1,0,13
"cescafra13",1,0,2
"tilvia65",8,0,31
"obokiki",3,0,20
"francesca_bass",3,0,69
"homerjromeo",2,0,4
"valezani",3,0,171
"eugeniocalva",3,0,4
"latavernadegliarna",2,0,58
"ambrafranz",8,0,4
"villarirosa",8,0,26
"lilliele",4,0,1
"thebluebirdkitchen",30,0,98
"ecobioshopping",11,0,484
"ste_dess",1,0,44
"eat4wellness",2,0,6
"tortelliniandco",9,0,163
"alesbt",8,0,43
"kristinaneral",87,0,91
"giusyrosta",3,0,12
"swegav",5,0,1
"manubu88",27,0,253
"lallaleonardi",2,0,4
"scaniatheking87",1,0,3
"paul_carl_",1,0,0
"carapigna_grazianopranteddu",1,0,0
"chiarabelzebu",1,0,0
"giusy___d",1,0,0
"riccardopisani_istagram",1,0,0
"hotelmamma_net",2,0,0
"thgandol",2,0,0
"f_flamy",1,0,0
"studionettare",2,0,0
"psozzan",1,0,0
"delattosato",6,0,0
"maria.chiara.b",2,0,0
"purplelovecountry",10,0,0
"gre_mi8",3,0,0
"ylee23",1,0,0
"mariasartore",5,0,0
"veruskaspadola",2,0,0
"antipacini",1,0,0
"nicolagiottomorra",1,0,0
"ulrikeschmid",2,0,0
"guialupoli",11,0,0
"jlenia_semplicementevegan",20,12,31
"silvanofoodmktg",2,0,0
"cinigroupfoodandrink",14,0,0
"ilariaceriani",2,0,0
"_ale578_",2,0,0
"goghi.d",1,0,0
"leooo_94",2,0,0
"francesca_per_hotelalcervo",2,0,0
"lredmoon",1,0,0
"5_liberus_5",11,0,0
"mirabellohotel_fieradiprimiero",4,0,0
"antonio_mele78",1,0,0
"_lafarfalla",1,0,0
"jewelsinferment",1,0,0
"lullipeda",2,0,0
"vestimi_congusto",1,0,0
"linadago26",5,0,0
"docjessica",9,0,0
"micaela_dep",2,0,0
"albergo_ristorante_miranda",1,0,0
"biabri007",2,0,0
"fabriziadanna",1,0,0
"silvia_bazz",2,0,0
"themrdepa",1,0,0
"lupinost",1,0,0
"frittomisto.cucinaedemozioni",42,1,94
"cucina_e_dintorni_con_teresa",15,2,8
"rossella_santeramo",19,0,0
"anirbas02",1,0,0
"ely3k",2,0,0
"giusyballistreri",1,0,0
"velavevoroma",3,0,0
"deldyg",2,0,0
"mina_sacco",1,0,0
"b3tt4_",4,0,0
"marino.zilla.fb",10,0,0
"giadagarroni",1,0,0
"francescafra93",3,0,0
"francesca_marina2",2,0,0
"alex_tarsi",1,0,0
"bibi_vs",2,0,0
"elejour",3,0,0
"theluxuriousenthusiast",1,0,0
"claudiatulli30",4,0,0
"jane_rrr",4,0,0
"beatricecalomeni",2,0,0
"xice",1,0,0
"ralpham57",1,0,0
"dietistadelmiglio",1,0,0
"ileana.nicoletta.marson",2,0,0
"bigiuzz76",1,0,0
"simonettaeffe",1,0,0
"bon.international",1,0,0
"topha1986",1,0,0
"dewi_wihardja",4,0,0
"quanta4expo",1,0,0
"luca_m4",1,0,0
"silvanofood",1,0,0
"apbertolini",9,0,0
"divinale",1,0,0
"ros_porpora",1,0,0
"lillisassano",1,0,0
"leraviv",1,0,0
"ouicheritreviso",1,0,0
"alisss15",3,0,0
"_marcrew",1,0,0
"denaisainlove",14,0,0
"pauluccio",1,0,0
"angelos_92",9,0,0
"sanclementecremabnb",1,0,0
"zolletta",3,0,0
"blossomzine",3,0,0
"reinitag",1,0,0
"sartoriadeisapori",29,0,0
"gianlucafabrizio",1,0,0
"camillatognelli",6,0,0
"gaia2992",1,0,0
"milkshooter",2,0,0
"jewelsofthealps",2,0,0
"chiaracreamy",2,0,0
"eppyt",6,0,0
"angelaromanogela",1,0,0
"teredipa",3,0,0
"linda_m3d",14,0,0
"ciurisi",1,0,0
"laurelevans",1,0,0
"giampieroferrante",2,0,0
"gep991",41,0,0
"palomagomessss",3,0,0
"giodeja",2,0,0
"ph_angelo_raffaele",2,0,0
"mirr_i",2,0,0
"marta_bozzoni",1,0,0
"molinarimartina",1,0,0
"vicostreetmilano",42,0,0
"alessiaaldini",2,0,0
"grandinehc",1,0,0
"4a_lagrangia",1,0,0
"ambicyosa",35,0,0
"sabrysaam",9,0,0
"alessiothewolf",2,0,0
"danielum",6,0,0
"elena_matteucci",6,0,0
"bibbi_re",1,0,0
"bajajn23",1,0,0
"bc_vale",10,0,0
"do_mora",1,0,0
"dressedtokill78",63,0,0
"redbullcharlottina",2,0,0
"0cchi0distratt0",1,0,0
"giulia_dira",1,0,0
