username,photosCount,commentsCount,likesCount
"zuccheroinvaligia",7,2,3
"panifici_bocconcino",28,6,22
"maghy_",0.0,5,12
"recettedubonheur",34,2,41
"langelapiazza",0.0,4,136
"projekflyt",0.0,1,2
"finestrasullago",0.0,1,36
"serexxsabrynax",0.0,3,0.0
"sacred_vanilla_love",0.0,1,44
"thebaggirl",0.0,1,2
"sguzzo1975",0.0,2,11
"vivilini",0.0,1,0.0
"lunasospesa",0.0,1,17
"milanocityufficiale",0.0,3,43
"joepalletta",0.0,1,8
"igersancona",0.0,1,10
"s1044333",0.0,1,39
"fitnesstigers",0.0,1,0.0
"bennydanny",0.0,1,2
"lana_fashionfreak",0.0,1,50
"bresciani_maria",0.0,1,0.0
"valentinatozza",0.0,1,22
"iosonofabioferrario",0.0,1,7
"erikamaggi14",9,4,8
"cuocaxamore",29,15,81
"cook_eat_love",77,8,60
"baketotheroots",0.0,1,10
"priscortez",0.0,1,2
"alicemarktol",0.0,1,1
"india_parker_",0.0,1,0.0
"federicchiog7",13,2,2
"da_ni_e_lag",0.0,1,4
"matteozante",0.0,1,3
"mounirboukamel",0.0,1,37
"sognotroppo73",0.0,2,37
"fpardeo",0.0,1,0.0
"silvia_ardu",4,1,1
"foto_napoli",0.0,1,2
"katyafp",4,4,169
"hypnosiskns",0.0,1,1
"365daysofminimelunchbox",0.0,1,1
"kotus",0.0,1,0.0
"ncnancychi",0.0,1,5
"saracardi",0.0,1,2
"civico30_lauramanda",0.0,1,27
"marzia.ambra",2,1,19
"36quaidessaveurs",0.0,3,43
"lauraccarbone",0.0,1,36
"particula_0",0.0,1,17
"lamiacasanelvento",0.0,2,15
"mrsgombs",0.0,1,4
"dexterina_instamamme",0.0,1,22
"keint_bar_rouge_shanghai",0.0,1,0.0
"lablondeenfarinee",13,1,40
"caolila2007",0.0,1,3
"holly8700",0.0,1,0.0
"grammasgift",0.0,1,0.0
"teresa_flamm",0.0,1,0.0
"davidejlanotte",0.0,1,1
"dolcebellezza1993",0.0,2,47
"vivi_gan",0.0,1,0.0
"kiarazak",0.0,1,0.0
"jenniferrossi95",0.0,4,1
"pinkrabbitt",0.0,1,7
"stevenfernandez",0.0,1,0.0
"lorena_grimaldi",0.0,1,2
"annnalisadatt",0.0,1,2
"barologirl",0.0,1,3
"leonardafibonachi",0.0,1,1
"viaggiofacile",0.0,1,7
"fediciabi",69,5,22
"leopop__",0.0,1,3
"thea7",135,3,26
"aasshhlliiee",0.0,1,1
"lindina80",0.0,1,16
"fancymistake",0.0,1,8
"amazingtattoos0",0.0,1,0.0
"leboisfacile",0.0,1,0.0
"imw8ng4u",0.0,1,0.0
"huntgramitalia",0.0,16,0.0
"vale_p20",2,4,1
"aitecch",26,5,54
"naughty_vasu",0.0,1,0.0
"andrea_ricordi",0.0,1,2
"roxrastan",0.0,1,0.0
"thisisjaylife",0.0,1,0.0
"elisappunti",11,1,212
"feat_food",0.0,5,82
"kesia1993",0.0,1,16
"giodiana78",0.0,1,5
"ciocopat",0.0,2,29
"azzurroshopping",0.0,1,0.0
"thinklikeabbas",0.0,1,0.0
"lulaida",0.0,1,3
"neyonic",0.0,1,3
"alessandramannelli",80,64,92
"phil_sonow",60,10,44
"boyrespectm",0.0,1,0.0
"alyssamiaxxi",0.0,1,2
"momy977",0.0,2,21
"belgianwino",0.0,1,2
"cristinaguastella",0.0,2,7
"luigi_marangolo",52,88,216
"maknlifemobetta",0.0,1,0.0
"sharefoodhunt",0.0,1,9
"edsablove",0.0,1,1
"talentellsite",0.0,1,10
"veganyummyyummy",0.0,1,0.0
"romonaflagstad",0.0,1,0.0
"marinavisic",0.0,1,2
"diegodidonato",4,1,2
"iloveapplegizmos",0.0,1,0.0
"w0moms",0.0,2,214
"marina.daniello.3",0.0,1,0.0
"katiar68",0.0,2,20
"fabri.xo",0.0,2,46
"la_greg74",15,5,12
"federicatj",29,12,556
"_ilazan_",8,7,7
"eufemia_potenza",0.0,1,1
"gotourismroma",0.0,1,4
"aleelab",0.0,2,17
